image_id,node_rows,reviewer_count,q1_no_pct,q1_uncertain_pct,critical_rate_all_pct,any_issue_rate_all_pct,critical_rate_q1_yes_pct,any_issue_rate_q1_yes_pct,avg_depth,avg_bbox_pct,leaf_pct
12953,5,1,0,0,80,100,80,100,1.8,58.584,80
14861,16,1,12.5,6.25,75,87.5,76.92,84.62,2.4375,29.2756,62.5
14855,27,1,7.41,0,74.07,96.3,72,96,2.963,14.3693,59.26
11323,11,1,9.09,0,72.73,90.91,70,90,1.9091,69.9164,63.64
13020,32,1,3.12,0,65.62,90.62,64.52,90.32,2.25,19.985,71.88
14504,28,1,14.29,0,64.29,78.57,58.33,75,1.9643,22.2682,78.57
14862,22,1,13.64,4.55,63.64,95.45,61.11,94.44,2.1364,18.7677,68.18
11422,11,1,0,0,63.64,81.82,63.64,81.82,1.7273,35.1373,63.64
15759,8,1,12.5,12.5,62.5,100,66.67,100,1.875,31.8738,62.5
14975,29,1,3.45,0,62.07,82.76,60.71,82.14,1.9655,19.9928,79.31
11402,43,1,16.28,2.33,60.47,81.4,54.29,77.14,1.9302,16.7147,69.77
10432,10,1,0,10,60,100,66.67,100,1.9,35.807,80
11238,12,1,0,0,58.33,75,58.33,75,1.6667,14.5608,83.33
11552,14,1,7.14,0,57.14,78.57,53.85,76.92,1.7143,15.6857,78.57
10303,7,1,14.29,0,57.14,57.14,50,50,2.5714,41.6614,42.86
11537,7,1,0,0,57.14,57.14,57.14,57.14,2.2857,30.5586,57.14
14857,9,1,0,0,55.56,77.78,55.56,77.78,1.7778,34.6878,55.56
11373,9,1,0,0,55.56,77.78,55.56,77.78,2,36,77.78
15036,9,1,22.22,11.11,55.56,66.67,50,50,1.7778,56.8867,77.78
11496,11,1,27.27,0,54.55,72.73,37.5,62.5,1.6364,28.3982,72.73
14870,57,1,7.02,0,54.39,80.7,50.94,79.25,2.3684,13.8684,66.67
14864,35,1,5.71,0,54.29,71.43,51.52,69.7,2.1143,17.0191,71.43
11184,13,1,7.69,7.69,53.85,92.31,54.55,90.91,1.6923,34.5754,76.92
12916,28,1,3.57,3.57,53.57,78.57,53.85,76.92,2.3571,17.5996,60.71
12810,56,1,1.79,1.79,53.57,76.79,53.7,75.93,2.375,16.5205,60.71
15002,17,1,11.76,0,52.94,76.47,46.67,73.33,2.0588,14.83,76.47
15823,19,1,15.79,0,52.63,73.68,43.75,68.75,2.0526,14.6258,68.42
14880,23,1,13.04,8.7,52.17,82.61,50,77.78,2.3913,10.9965,65.22
14938,37,1,2.7,0,51.35,83.78,50,83.33,2.2703,12.1411,70.27
13432,18,1,27.78,11.11,50,94.44,36.36,90.91,2,21.2789,50
14967,12,1,8.33,0,50,91.67,45.45,90.91,2.0833,12.3792,75
14611,28,1,14.29,3.57,50,85.71,43.48,82.61,2.0357,27.2311,78.57
15074,26,1,19.23,7.69,50,84.62,42.11,78.95,2,16.8662,69.23
13988,18,1,11.11,0,50,83.33,43.75,81.25,1.8333,15.7967,61.11
11269,18,1,22.22,11.11,50,83.33,41.67,75,2.1111,12.39,77.78
14941,10,1,20,10,50,80,42.86,71.43,1.9,31.262,60
11076,12,1,8.33,0,50,75,45.45,72.73,2.3333,30.6642,41.67
12098,8,1,25,0,50,75,33.33,66.67,1.625,6.2512,75
11320,40,1,15,0,50,72.5,41.18,67.65,1.85,14.8202,75
14854,10,1,0,0,50,50,50,50,1.6,42.808,80
