label,node_rows_removed,node_loss_pct,critical_removed,critical_removed_share_pct,any_issue_removed_est,any_issue_removed_share_pct,q1_no_pct,critical_rate_all_pct,benefit_per_node_loss,suggested_use
mullion,13,0.05,10,0.19,13,0.09,46.15,76.92,4.7,inspect_or_prune_candidate
petal,11,0.04,7,0.14,10,0.07,0,63.64,4.375,inspect_or_prune_candidate
stove,10,0.04,6,0.12,7,0.05,30,60,3.625,inspect_or_prune_candidate
palm,103,0.41,58,1.12,89,0.65,42.72,56.31,3.524,inspect_or_prune_candidate
leaf,124,0.49,68,1.31,111,0.81,4.03,54.84,3.5,inspect_or_prune_candidate
grout,21,0.08,11,0.21,19,0.14,0,52.38,3.5,inspect_or_prune_candidate
brick,26,0.1,13,0.25,20,0.15,0,50,3.25,inspect_or_prune_candidate
twig,15,0.06,8,0.15,12,0.09,0,53.33,3.25,inspect_or_prune_candidate
sausage,10,0.04,5,0.1,8,0.06,0,50,3.25,inspect_or_prune_candidate
branch,68,0.27,35,0.68,54,0.39,2.94,51.47,3.241,inspect_or_prune_candidate
peel,12,0.05,6,0.12,11,0.08,16.67,50,3.2,inspect_or_prune_candidate
crust,36,0.14,17,0.33,31,0.23,5.56,47.22,3.179,inspect_or_prune_candidate
bar,12,0.05,6,0.12,10,0.07,33.33,50,3.1,inspect_or_prune_candidate
bezel,42,0.17,20,0.39,37,0.27,4.76,47.62,3.088,inspect_or_prune_candidate
lane,14,0.06,7,0.14,13,0.09,28.57,50,3.083,inspect_or_prune_candidate
fingertip,14,0.06,7,0.14,12,0.09,21.43,50,3.083,inspect_or_prune_candidate
counter,17,0.07,9,0.17,12,0.09,29.41,52.94,3.071,inspect_or_prune_candidate
topping,14,0.06,7,0.14,11,0.08,7.14,50,3,inspect_or_prune_candidate
slice,10,0.04,5,0.1,6,0.04,10,50,3,inspect_or_prune_candidate
frame,237,0.93,107,2.07,192,1.4,10.97,45.15,2.978,inspect_or_prune_candidate
tree,343,1.35,155,3,275,2.01,1.46,45.19,2.967,inspect_or_prune_candidate
arch,19,0.07,8,0.15,15,0.11,15.79,42.11,2.929,inspect_or_prune_candidate
toy,18,0.07,8,0.15,15,0.11,11.11,44.44,2.929,inspect_or_prune_candidate
waistband,79,0.31,35,0.68,62,0.45,27.85,44.3,2.919,inspect_or_prune_candidate
handrail,26,0.1,11,0.21,22,0.16,23.08,42.31,2.9,inspect_or_prune_candidate
spine,11,0.04,4,0.08,10,0.07,0,36.36,2.875,inspect_or_prune_candidate
book,37,0.15,17,0.33,28,0.2,10.81,45.95,2.867,inspect_or_prune_candidate
surface,31,0.12,13,0.25,24,0.18,3.23,41.94,2.833,inspect_or_prune_candidate
spectator,20,0.08,8,0.15,19,0.14,0,40,2.75,inspect_or_prune_candidate
peak,15,0.06,6,0.12,12,0.09,6.67,40,2.75,inspect_or_prune_candidate
deck,10,0.04,4,0.08,8,0.06,10,40,2.75,inspect_or_prune_candidate
crack,10,0.04,4,0.08,8,0.06,10,40,2.75,inspect_or_prune_candidate
fingernail,19,0.07,7,0.14,14,0.1,0,36.84,2.714,inspect_or_prune_candidate
trim,13,0.05,5,0.1,10,0.07,15.38,38.46,2.7,inspect_or_prune_candidate
