label,node_rows,image_count,reviewer_count,q1_no_pct,q1_uncertain_pct,critical_nodes_all,critical_rate_all_pct,critical_share_of_dataset_pct,any_issue_rate_all_pct,critical_rate_q1_yes_pct,any_issue_rate_q1_yes_pct,avg_depth,avg_bbox_pct,top_critical_questions
tree,343,252,20,1.46,0.58,155,45.19,3.0,80.17,44.64,79.76,1.4257,28.5182,Q2:132|Q5:20|Q4:14|Q8:7|Q1:5
head,675,565,20,1.78,0.74,130,19.26,2.51,51.56,17.93,50.3,2.1289,13.0669,Q5:52|Q2:45|Q8:22|Q1:12|Q7:11
leg,555,430,20,1.8,0.36,128,23.06,2.47,60.72,21.73,59.85,2.2595,14.1161,Q2:58|Q4:35|Q5:21|Q8:11|Q1:10
wall,491,409,20,3.46,1.22,109,22.2,2.11,60.08,19.66,58.12,1.558,38.9765,Q2:63|Q5:27|Q1:17|Q4:11|Q3:9
frame,237,188,20,10.97,1.69,107,45.15,2.07,81.01,39.13,78.26,2.4473,13.3222,Q5:47|Q3:32|Q2:30|Q1:26|Q4:8
window,423,262,20,3.31,3.55,88,20.8,1.7,58.39,18.78,55.33,2.253,13.9921,Q2:48|Q4:17|Q5:15|Q1:14|Q3:8
post,269,204,20,9.29,2.6,77,28.62,1.49,68.03,21.94,63.71,2.2454,15.5553,Q2:48|Q1:25|Q5:12|Q3:7|Q4:3
arm,379,341,20,1.06,1.58,70,18.47,1.35,58.58,17.89,57.45,2.1319,14.6178,Q2:32|Q4:17|Q8:10|Q5:7|Q3:7
sleeve,393,322,20,3.56,0.51,69,17.56,1.33,55.47,14.59,53.58,3.0585,13.0308,Q2:34|Q1:14|Q5:11|Q3:10|Q4:6
leaf,124,94,20,4.03,4.03,68,54.84,1.31,89.52,55.26,88.6,2.2097,17.8594,Q2:61|Q1:5|Q5:5|Q4:4
door,253,196,20,8.7,3.56,60,23.72,1.16,57.31,17.12,51.35,2.1107,14.3594,Q1:22|Q5:15|Q3:15|Q2:12|Q4:5
palm,103,95,20,42.72,1.94,58,56.31,1.12,86.41,24.56,75.44,3.5049,4.3448,Q1:44|Q3:11|Q4:6|Q5:6|Q2:4
