label,node_rows,image_count,reviewer_count,q1_no,q1_no_pct,q1_uncertain,q1_uncertain_pct,q4_bad,q4_bad_pct,q5_bad,q5_bad_pct,avg_depth,avg_bbox_pct
mullion,13,13,8,6,46.15,1,7.69,0,0.0,0,0.0,3.231,4.856
palm,103,95,20,44,42.72,2,1.94,6,5.83,6,5.83,3.505,4.345
muzzle,12,12,9,5,41.67,0,0.0,0,0.0,0,0.0,2.667,8.878
knot,10,10,8,4,40.0,0,0.0,0,0.0,0,0.0,2.7,3.017
bar,12,12,9,4,33.33,0,0.0,1,8.33,2,16.67,2.75,10.428
baseboard,12,12,8,4,33.33,0,0.0,0,0.0,0,0.0,1.667,9.227
tent,13,13,11,4,30.77,0,0.0,0,0.0,0,0.0,1.308,8.662
stove,10,10,10,3,30.0,1,10.0,1,10.0,0,0.0,1.2,19.961
counter,17,14,11,5,29.41,2,11.76,2,11.76,0,0.0,1.471,22.804
lane,14,14,10,4,28.57,1,7.14,3,21.43,2,14.29,2.071,18.527
waistband,79,74,20,22,27.85,4,5.06,1,1.27,8,10.13,3.025,3.467
statue,11,10,7,3,27.27,1,9.09,0,0.0,0,0.0,1.545,5.111
bracket,35,33,17,9,25.71,3,8.57,0,0.0,1,2.86,2.486,8.701
barrier,13,13,9,3,23.08,1,7.69,1,7.69,1,7.69,1.615,25.612
handrail,26,21,14,6,23.08,1,3.85,1,3.85,1,3.85,2.385,9.663
patch,13,11,8,3,23.08,1,7.69,0,0.0,0,0.0,3.308,2.372
seam,37,34,18,8,21.62,1,2.7,1,2.7,2,5.41,3.243,4.631
fingertip,14,14,9,3,21.43,0,0.0,1,7.14,1,7.14,4.071,0.986
shoulder,33,32,17,7,21.21,0,0.0,1,3.03,1,3.03,2.727,3.971
monitor,24,18,12,5,20.83,1,4.17,0,0.0,0,0.0,1.583,18.277
rack,15,12,10,3,20.0,0,0.0,1,6.67,1,6.67,2.133,9.189
sheet,15,13,11,3,20.0,0,0.0,1,6.67,0,0.0,2.2,35.933
wiper,20,18,12,4,20.0,0,0.0,1,5.0,3,15.0,2.25,4.191
rod,10,10,9,2,20.0,0,0.0,0,0.0,0,0.0,1.9,9.565
pillow,37,34,17,7,18.92,0,0.0,1,2.7,3,8.11,1.459,22.142
scale,11,10,10,2,18.18,1,9.09,0,0.0,0,0.0,1.545,3.588
tail,152,146,20,27,17.76,6,3.95,0,0.0,6,3.95,2.099,5.6
chimney,17,16,12,3,17.65,2,11.76,0,0.0,0,0.0,1.941,0.96
